,IDfg,Name,Age,G,AB,WAR,name_last,name_first,key_bbref,mlb_played_first,2023,shortName,Unnamed: 0,2024,SimplePosition,S2,G_all,GS,2024Est,Selectable,Position_c,Position_1b,Position_2b,Position_3b,Position_ss,Position_lf,Position_cf,Position_rf,Position_of
14,15362,Jeff McNeil,29,148,533,5.7,mcneil,jeff,mcneije01,2018.0,6250000.0,NY Mets,819,$10.25 ,Batter,False,148,142,10250000.0,True,False,False,True,False,False,True,False,True,True
15,18360,Austin Riley,24,159,615,5.6,riley,austin,rileyau01,2019.0,15000000.0,Atlanta,88,$21.00 ,Batter,False,159,158,21000000.0,True,False,False,False,True,False,False,False,False,False
16,19470,Tommy Edman,26,153,577,5.6,edman,tommy,edmanto01,2019.0,4200000.0,St. Louis,938,A2,Batter,False,153,142,12647999.999999998,True,False,False,True,True,True,False,False,False,False
17,17678,Alex Bregman,27,155,548,5.5,bregman,alex,bregmal01,2016.0,30500000.0,Houston,213,$30.50 ,Batter,False,155,153,30500000.0,True,False,False,False,True,False,False,False,False,False
18,23697,Julio Rodriguez,20,132,511,5.4,rodríguez,julio,rodriju01,2022.0,6185714.0,Seattle,1227,$12.19 ,Batter,False,132,131,12190000.0,False,False,False,False,False,False,False,True,False,True
19,26288,Adley Rutschman,23,113,398,5.4,rutschman,adley,rutscad01,2022.0,733900.0,Baltimore,1109,,Batter,False,113,107,0.0,False,True,False,False,False,False,False,False,False,False
20,12927,Brandon Nimmo,28,151,580,5.2,nimmo,brandon,nimmobr01,2016.0,18500000.0,NY Mets,809,$20.50 ,Batter,False,151,148,20500000.0,True,False,False,False,False,False,False,True,False,True
21,19352,Sean Murphy,26,148,537,5.0,murphy,sean,murphse01,2019.0,4000000.0,Atlanta,97,$9.00 ,Batter,False,148,146,9000000.0,True,True,False,False,False,False,False,False,False,False
22,25931,Michael Harris II,20,114,414,4.9,harris,michael,harrimi04,2022.0,5000000.0,Atlanta,94,$5.00 ,Batter,False,114,114,5000000.0,False,False,False,False,False,False,False,True,False,True
23,17350,Rafael Devers,24,141,555,4.8,devers,rafael,deverra01,2017.0,17500000.0,Boston,969,$29.50 ,Batter,False,141,140,29500000.0,True,False,False,False,True,False,False,False,False,False
24,18345,Kyle Tucker,24,150,544,4.8,tucker,kyle,tuckeky01,2018.0,5000000.0,Houston,224,A2,Batter,False,150,148,10943999.999999998,True,False,False,False,False,False,False,False,True,True
25,19918,Daulton Varsho,24,151,531,4.8,varsho,daulton,varshda01,2020.0,3050000.0,Toronto,58,A2,Batter,True,151,136,9648000.0,False,True,False,False,False,False,False,True,True,True
26,15986,Willy Adames,25,139,563,4.6,adames,willy,adamewi01,2018.0,8700000.0,Milwaukee,429,A3,Batter,False,139,138,17234000.0,True,False,False,False,False,True,False,False,False,False
27,19612,Bo Bichette,23,159,652,4.5,bichette,bo,bichebo01,2019.0,3933333.0,Toronto,55,$12.08 ,Batter,False,159,158,12080000.0,True,False,False,False,False,True,False,False,False,False
28,24610,Steven Kwan,23,147,563,4.5,kwan,steven,kwanst01,2022.0,727300.0,Cleveland,654,,Batter,False,147,139,0.0,False,False,False,False,False,False,True,True,True,True
29,14162,Carlos Correa,26,136,522,4.4,correa,carlos,correca01,2015.0,33333333.0,Minnesota,253,$33.33 ,Batter,False,136,133,33330000.0,True,False,False,False,False,True,False,False,False,False
30,12856,George Springer,31,133,513,4.3,springer,george,springe01,2014.0,24166667.0,Toronto,42,$24.17 ,Batter,False,133,126,24170000.0,True,False,False,False,False,False,False,True,True,True
31,13624,Corey Seager,27,151,593,4.3,seager,corey,seageco01,2015.0,35500000.0,Texas,509,$35.00 ,Batter,False,151,151,35000000.0,True,False,False,False,False,True,False,False,False,False
32,13419,Christian Walker,30,160,583,4.2,walker,christian,walkech02,2014.0,6500000.0,Arizona,556,A3,Batter,False,160,157,15798000.0,True,False,True,False,False,False,False,False,False,False
33,21534,Cal Raleigh,24,119,370,4.2,raleigh,cal,raleica01,2021.0,758300.0,Seattle,1237,,Batter,False,119,100,0.0,False,True,False,False,False,False,False,False,False,False
34,16505,Matt Chapman,28,155,538,4.2,chapman,matt,chapmma01,2017.0,12500000.0,Toronto,48,FA,Batter,False,155,152,0.0,True,False,False,False,True,False,False,False,False,False
35,18036,Jake Cronenworth,27,158,587,4.2,cronenworth,jake,croneja01,2020.0,4225000.0,San Diego,607,$7.29 ,Batter,False,158,155,7290000.0,False,False,True,True,False,True,False,False,False,False
36,12552,Eugenio Suarez,29,150,543,4.1,suárez,eugenio,suareeu01,2014.0,11285714.0,Seattle,1221,$11.29 ,Batter,False,150,147,11290000.0,True,False,False,False,True,False,False,False,False,False
37,14161,Byron Buxton,27,92,340,4.0,buxton,byron,buxtoby01,2015.0,15142857.0,Minnesota,254,$15.14 ,Batter,False,92,86,15140000.0,True,False,False,False,False,False,False,True,False,True
38,7739,Travis d'Arnaud,32,107,396,4.0,d'arnaud,travis,darnatr01,2013.0,8000000.0,Atlanta,91,opt,Batter,False,107,104,720000.0,True,True,False,False,False,False,False,False,False,False
39,21479,Nico Hoerner,24,135,481,4.0,hoerner,nico,hoernni01,2019.0,2525000.0,Chi Cubs,1022,$11.50 ,Batter,False,135,129,11500000.0,True,False,False,False,False,True,False,False,False,False
40,12533,Marcus Semien,30,161,657,4.0,semien,marcus,semiema01,2013.0,26000000.0,Texas,511,$26.00 ,Batter,False,161,161,26000000.0,True,False,False,True,False,True,False,False,False,False
41,20123,Juan Soto,22,153,524,3.9,soto,juan,sotoju01,2018.0,23000000.0,San Diego,594,A4,Batter,True,153,152,17061000.0,True,False,False,False,False,False,False,False,True,True
42,17548,Taylor Ward,27,135,495,3.9,ward,taylor,wardta01,2018.0,2750000.0,LA Angels,14,A2,Batter,True,135,130,7974000.0,True,False,False,False,False,False,False,True,True,True
43,19197,Will Smith,26,137,508,3.9,smith,will,smithwi05,2019.0,5250000.0,LA Dodgers,139,A2,Batter,False,137,130,9027000.0,True,True,False,False,False,False,False,False,False,False
44,22581,Alejandro Kirk,22,139,470,3.9,kirk,alejandro,kirkal01,2020.0,767300.0,Toronto,66,A1,Batter,False,139,123,6024000.0,False,True,False,False,False,False,False,False,False,False
45,19755,Shohei Ohtani,26,157,586,3.8,ohtani,shohei,ohtansh01,2018.0,30000000.0,LA Angels,2,FA,Starter,False,157,153,0.0,True,False,False,False,False,False,False,False,False,False
46,19251,Pete Alonso,26,160,597,3.8,alonso,pete,alonspe01,2019.0,14500000.0,NY Mets,811,A3,Batter,False,160,160,14362000.0,True,False,True,False,False,False,False,False,False,False
47,16725,Jose Trevino,28,115,335,3.8,trevino,jose,trevijo01,2018.0,2360000.0,NY Yankees,1070,A2,Batter,False,115,90,8814000.0,True,True,False,False,False,False,False,False,False,False
48,16578,Yandy Diaz,29,137,473,3.7,díaz,yandy,diazya01,2017.0,6000000.0,Tampa Bay,1178,$8.00 ,Batter,False,137,126,8000000.0,True,False,True,False,True,False,False,False,False,False
49,27506,Ha-seong Kim,25,150,517,3.7,kim,ha-seong,kimha01,2021.0,7000000.0,San Diego,604,$8.00 ,Batter,False,150,142,8000000.0,False,False,False,False,True,True,False,False,False,False
50,17919,Ian Happ,26,158,573,3.6,happ,ian,happia01,2017.0,10850000.0,Chi Cubs,1016,FA,Batter,False,158,152,0.0,True,False,False,False,False,False,True,False,False,True
51,19287,Adolis Garcia,28,156,605,3.6,garcía,adolis,garciad02,2018.0,747760.0,Texas,528,A1,Batter,False,156,154,5616000.000000001,True,False,False,False,False,False,False,True,True,True
52,17929,Cedric Mullins II,26,156,608,3.6,mullins,cedric,mullice01,2018.0,4100000.0,Baltimore,1097,A2,Batter,False,156,144,8388000.0,True,False,False,False,False,False,False,True,False,True
53,8709,Elvis Andrus,32,149,535,3.5,andrus,elvis,andruel01,2009.0,3000000.0,Chi White Sox,861,FA,Batter,False,149,143,0.0,True,False,False,False,False,True,False,False,False,False
54,21636,Jeremy Pena,23,136,521,3.4,peña,jeremy,penaje02,2022.0,754900.0,Houston,232,,Batter,False,136,132,0.0,False,False,False,False,False,True,False,False,False,False
55,11609,Willson Contreras,29,113,416,3.3,contreras,willson,contrwi01,2016.0,10000000.0,St. Louis,932,$18.00 ,Batter,False,113,111,18000000.0,True,True,False,False,False,False,False,False,False,False
56,14344,Matt Olson,27,162,616,3.2,olson,matt,olsonma02,2016.0,21000000.0,Atlanta,83,$22.00 ,Batter,False,162,161,22000000.0,True,False,True,False,False,False,False,False,False,False
57,18568,Luis Arraez,24,144,547,3.1,arráez,luis,arraelu01,2019.0,6100000.0,Miami,1139,A3,Batter,True,144,129,8966000.0,True,False,True,True,True,False,False,False,False,False
58,11615,Brandon Drury,28,138,518,3.0,drury,brandon,drurybr01,2015.0,8500000.0,LA Angels,5,$8.50 ,Batter,False,138,131,8500000.0,True,False,True,True,True,False,False,False,False,False
59,19955,Gavin Lux,23,129,421,3.0,lux,gavin,luxga01,2019.0,750000.0,LA Dodgers,153,A1,Batter,False,129,118,4800000.0,True,False,False,True,False,True,True,False,False,True
60,15112,Ryan McMahon,26,153,529,3.0,mcmahon,ryan,mcmahry01,2017.0,9000000.0,Colorado,388,$12.00 ,Batter,False,153,142,12000000.0,True,False,False,True,True,False,False,False,False,False
61,9874,DJ LeMahieu,32,125,467,3.0,lemahieu,dj,lemahdj01,2011.0,15000000.0,NY Yankees,1057,$15.00 ,Batter,False,125,116,15000000.0,True,False,True,True,True,False,False,False,False,False
62,9241,Starling Marte,32,118,466,2.9,marte,starling,martest01,2012.0,20750000.0,NY Mets,807,$20.75 ,Batter,False,118,116,20750000.0,True,False,False,False,False,False,False,False,True,True
63,16997,Gleyber Torres,24,140,526,2.9,torres,gleyber,torregl01,2018.0,9950000.0,NY Yankees,1060,A4,Batter,True,140,131,12871000.000000002,True,False,False,True,False,True,False,False,False,False
64,18577,Ke'Bryan Hayes,24,136,505,2.9,hayes,ke'bryan,hayeske01,2020.0,10000000.0,Pittsburgh,171,$7.00 ,Batter,False,136,130,7000000.0,False,False,False,False,True,False,False,False,False,False
65,17273,Jorge Mateo,26,150,494,2.9,mateo,jorge,mateojo01,2020.0,2000000.0,Baltimore,1101,A2,Batter,False,150,142,6897000.0,False,False,False,False,False,True,False,False,False,False
66,19566,Nathaniel Lowe,25,157,593,2.8,lowe,nathaniel,lowena01,2019.0,4050000.0,Texas,518,A2,Batter,True,157,154,5928000.0,True,False,True,False,False,False,False,False,False,False
67,19611,Vladimir Guerrero Jr.,22,160,638,2.8,guerrero,vladimir,guerrvl02,2019.0,14500000.0,Toronto,47,A3,Batter,True,160,158,8167999.999999999,True,False,True,False,False,False,False,False,False,False
68,19326,Bryan Reynolds,26,145,542,2.8,reynolds,bryan,reynobr01,2019.0,6750000.0,Pittsburgh,173,A3,Batter,True,145,144,8167999.999999999,True,False,False,False,False,False,False,True,False,True
69,17901,Andrew Benintendi,26,126,461,2.8,benintendi,andrew,beninan01,2016.0,8600000.0,Chi White Sox,854,$17.10 ,Batter,False,126,120,17100000.0,True,False,False,False,False,False,True,False,False,True
70,16426,Thairo Estrada,25,140,488,2.8,estrada,thairo,estrath01,2019.0,2250000.0,San Francisco,486,A2,Batter,True,140,129,5928000.0,True,False,False,True,False,True,True,False,False,True
71,16478,Kyle Schwarber,28,155,577,2.7,schwarber,kyle,schwaky01,2015.0,20000000.0,Philadelphia,890,$20.00 ,Batter,False,155,153,20000000.0,True,False,False,False,False,False,True,False,False,True
72,19290,Randy Arozarena,26,153,586,2.7,arozarena,randy,arozara01,2019.0,4150000.0,Tampa Bay,1181,A2,Batter,True,153,150,5742000.0,True,False,False,False,False,False,True,False,True,True
73,11445,Mark Canha,32,140,462,2.7,canha,mark,canhama01,2015.0,11500000.0,NY Mets,814,$2.00 ,Batter,False,140,124,2000000.0,True,False,False,False,False,False,True,True,True,True
74,19734,Josh Rojas,27,125,443,2.7,rojas,josh,rojasjo01,2019.0,2575000.0,Arizona,565,A2,Batter,True,125,115,5742000.0,True,False,False,True,True,False,False,False,False,False
75,18795,Ramon Urias,27,118,403,2.7,urías,ramón,uriasra01,2020.0,734700.0,Baltimore,1108,A1,Batter,False,118,109,4392000.0,False,False,False,True,True,True,False,False,False,False
76,15518,Amed Rosario,25,153,637,2.7,rosario,amed,rosaram01,2017.0,7800000.0,Cleveland,638,FA,Batter,False,153,151,0.0,True,False,False,False,False,True,True,False,False,True
77,16930,Jonah Heim,26,127,406,2.7,heim,jonah,heimjo01,2020.0,745660.0,Texas,529,A1,Batter,False,127,106,4392000.0,False,True,False,False,False,False,False,False,False,False
78,16535,Danny Jansen,26,72,215,2.6,jansen,danny,janseda01,2018.0,3500000.0,Toronto,56,A3,Batter,False,72,61,10054000.0,True,True,False,False,False,False,False,False,False,False
79,21454,Lars Nootbaar,23,108,290,2.6,nootbaar,lars,nootbla01,2021.0,732400.0,St. Louis,947,,Batter,False,108,82,0.0,False,False,False,False,False,False,True,True,True,True
80,24679,Brendan Donovan,24,126,391,2.6,donovan,brendan,donovbr01,2022.0,728600.0,St. Louis,949,,Batter,False,126,108,0.0,False,False,True,True,True,True,True,False,True,True
81,14551,Anthony Santander,26,152,574,2.6,santander,anthony,santaan02,2017.0,7400000.0,Baltimore,1096,A4,Batter,True,152,150,11614000.000000002,True,False,False,False,False,False,True,False,True,True
82,10815,Jurickson Profar,28,152,575,2.6,profar,jurickson,profaju01,2012.0,7710778.0,Colorado,389,FA,Batter,False,152,147,0.0,True,False,False,False,False,False,True,False,False,True
83,9952,Trayce Thompson,30,80,219,2.5,thompson,trayce,thomptr01,2015.0,1450000.0,LA Dodgers,146,A2,Batter,False,80,58,6044999.999999999,True,False,False,False,False,False,True,True,True,True
84,20503,William Contreras,23,97,334,2.5,contreras,william,contrwi02,2020.0,739000.0,Milwaukee,446,,Batter,False,97,89,0.0,False,True,False,False,False,False,False,False,False,False
85,20454,Jazz Chisholm Jr.,23,60,213,2.5,chisholm,jazz,chishja01,2020.0,749500.0,Miami,1151,A1,Batter,False,60,56,4120000.0000000005,False,False,False,True,False,False,False,False,False,False
86,3473,Anthony Rizzo,31,130,465,2.5,rizzo,anthony,rizzoan01,2011.0,17000000.0,NY Yankees,1056,$17.00 ,Batter,False,130,124,17000000.0,True,False,True,False,False,False,False,False,False,False
87,13066,Teoscar Hernandez,28,131,499,2.5,hernández,teoscar,hernate01,2016.0,14000000.0,Seattle,1218,FA,Batter,False,131,128,0.0,True,False,False,False,False,False,True,False,True,True
88,15464,Hunter Renfroe,29,125,474,2.5,renfroe,hunter,renfrhu01,2016.0,11900000.0,LA Angels,4,FA,Batter,False,125,125,0.0,True,False,False,False,False,False,False,False,True,True
89,20126,Dylan Carlson,22,128,432,2.5,carlson,dylan,carlsdy01,2020.0,742400.0,St. Louis,945,A1,Batter,False,128,110,4120000.0000000005,False,False,False,False,False,False,False,True,True,True
90,11579,Bryce Harper,28,99,370,2.4,harper,bryce,harpebr03,2012.0,27538462.0,Philadelphia,885,$27.54 ,Batter,False,99,98,27540000.0,True,False,False,False,False,False,False,False,True,True
91,5235,Justin Turner,36,128,468,2.4,turner,justin,turneju01,2009.0,8300000.0,Boston,974,$13.40 ,Batter,False,128,127,13400000.0,True,False,False,False,True,False,False,False,False,False
92,12532,Kolten Wong,30,134,430,2.4,wong,kolten,wongko01,2013.0,10000000.0,Seattle,1223,FA,Batter,False,134,115,0.0,True,False,False,True,False,False,False,False,False,False
93,21622,Jake McCarthy,23,99,321,2.4,mccarthy,jake,mccarja02,2021.0,735600.0,Arizona,573,,Batter,False,99,82,0.0,False,False,False,False,False,False,True,True,True,True
94,10681,Gio Urshela,29,144,501,2.4,urshela,gio,urshegi01,2015.0,8400000.0,LA Angels,6,FA,Batter,False,144,135,0.0,True,False,False,False,True,False,False,False,False,False
95,20036,Isaac Paredes,22,111,331,2.4,paredes,isaac,paredis01,2020.0,735000.0,Tampa Bay,1196,A1,Batter,True,111,88,3312000.0,False,False,True,True,True,False,False,False,False,False
96,12564,Trevor Story,28,94,357,2.4,story,trevor,storytr01,2016.0,20000000.0,Boston,968,$22.50 ,Batter,False,94,92,22500000.0,True,False,False,True,False,False,False,False,False,False
97,13301,Max Muncy,30,136,464,2.4,muncy,max,muncyma01,2015.0,13500000.0,LA Dodgers,132,opt,Batter,False,136,130,720000.0,True,False,False,True,True,False,False,False,False,False
98,8090,Matt Carpenter,35,47,128,2.3,carpenter,matt,carpema01,2011.0,6500000.0,San Diego,606,$5.50 ,Batter,False,47,35,5500000.0,True,False,False,False,False,False,False,False,True,True
99,16472,Rhys Hoskins,28,156,589,2.3,hoskins,rhys,hoskirh01,2017.0,12000000.0,Philadelphia,893,FA,Batter,False,156,154,0.0,True,False,True,False,False,False,False,False,False,False
100,17982,Ty France,26,140,551,2.3,france,ty,francty01,2019.0,4100000.0,Seattle,1228,A2,Batter,False,140,138,5618999.999999999,True,False,True,False,True,False,False,False,False,False
101,23667,Wander Franco,20,83,314,2.3,franco,wander,francwa01,2021.0,2454546.0,Tampa Bay,1184,$2.46 ,Batter,False,83,80,2460000.0,False,False,False,False,False,True,False,False,False,False
102,16622,Luis Urias,24,119,406,2.3,urías,luis,uriaslu01,2018.0,4700000.0,Milwaukee,433,A3,Batter,True,119,109,6837999.999999999,True,False,False,True,True,True,False,False,False,False
103,25764,Bobby Witt Jr.,21,150,591,2.3,witt,bobby,wittbo02,2022.0,745750.0,Kansas City,312,,Batter,False,150,148,0.0,False,False,False,False,True,True,False,False,False,False
104,14854,Mike Yastrzemski,30,148,485,2.3,yastrzemski,mike,yastrmi01,2019.0,6100000.0,San Francisco,478,A3,Batter,True,148,126,6837999.999999999,True,False,False,False,False,False,False,True,True,True
105,19997,Santiago Espinal,26,135,449,2.3,espinal,santiago,espinsa01,2020.0,2100000.0,Toronto,62,A2,Batter,True,135,119,4998000.0,False,False,False,True,True,True,False,False,False,False
106,16153,Austin Slater,28,125,277,2.2,slater,austin,slateau01,2017.0,3200000.0,San Francisco,481,A4,Batter,True,125,61,9938000.000000002,True,False,False,False,False,False,True,True,True,True
107,18401,Ronald Acuna Jr.,23,119,467,2.2,acuña,ronald,acunaro01,2018.0,17000000.0,Atlanta,86,$17.00 ,Batter,False,119,115,17000000.0,True,False,False,False,False,False,False,False,True,True
108,11477,Christian Yelich,29,154,575,2.2,yelich,christian,yelicch01,2013.0,24250727.0,Milwaukee,426,$24.25 ,Batter,False,154,149,24250000.0,True,False,False,False,False,False,True,False,False,True
109,6153,Eduardo Escobar,32,136,495,2.2,escobar,eduardo,escobed01,2011.0,9500000.0,NY Mets,816,$0.50 ,Batter,False,136,130,500000.0,True,False,False,False,True,False,False,False,False,False
110,12037,Jon Berti,31,102,358,2.2,berti,jon,bertijo01,2018.0,2100000.0,Miami,1147,$0.03 ,Batter,True,102,92,30000.0,True,False,False,True,True,True,True,False,False,True
111,5343,Brandon Crawford,34,118,407,2.2,crawford,brandon,crawfbr01,2011.0,16000000.0,San Francisco,469,FA,Batter,False,118,113,0.0,True,False,False,False,False,True,False,False,False,False
112,18564,Trent Grisham,24,152,451,2.2,grisham,trent,grishtr01,2019.0,3175000.0,San Diego,609,A2,Batter,False,152,124,5406000.0,True,False,False,False,False,False,False,True,False,True
113,11899,Joc Pederson,29,134,380,2.1,pederson,joc,pederjo01,2014.0,19650000.0,San Francisco,467,FA,Batter,False,134,105,0.0,True,False,False,False,False,False,True,False,True,True
114,18042,Dylan Moore,28,104,205,2.1,moore,dylan,mooredy01,2019.0,2083333.0,Seattle,1231,$3.13 ,Batter,False,104,64,3130000.0,True,False,True,True,False,True,True,True,True,True
115,20043,Luis Robert,23,98,380,2.1,robert,luis,roberlu01,2020.0,9500000.0,Chi White Sox,852,$12.50 ,Batter,False,98,92,12500000.0,False,False,False,False,False,False,False,True,False,True
116,13675,Tyrone Taylor,27,120,373,2.1,taylor,tyrone,tayloty01,2019.0,735400.0,Milwaukee,447,A1,Batter,False,120,103,3576000.0000000005,True,False,False,False,False,False,True,True,True,True
117,12325,Jace Peterson,31,113,288,2.1,peterson,jace,peterja01,2014.0,4500000.0,Oakland,678,$5.00 ,Batter,False,113,81,5000000.0,True,False,False,False,True,False,False,False,True,True
118,17620,Myles Straw,26,152,535,2.1,straw,myles,strawmy01,2018.0,2900000.0,Cleveland,643,$4.90 ,Batter,False,152,144,4900000.0,True,False,False,False,False,False,False,True,False,True
119,19599,Chas McCormick,26,119,359,2.0,mccormick,chas,mccorch01,2021.0,752500.0,Houston,233,A1,Batter,False,119,99,3440000.0,False,False,False,False,False,False,True,True,True,True
120,15172,Tim Anderson,28,79,332,2.0,anderson,tim,anderti01,2016.0,12500000.0,Chi White Sox,849,$1.00 ,Batter,False,79,79,1000000.0,True,False,False,False,False,True,False,False,False,False
121,15491,J.P. Crawford,26,145,518,2.0,crawford,j. p.,crawfjp01,2017.0,11000000.0,Seattle,1222,$11.00 ,Batter,False,145,143,11000000.0,True,False,False,False,False,True,False,False,False,False
122,12144,Max Kepler,28,115,388,2.0,kepler,max,keplema01,2015.0,8500000.0,Minnesota,258,$1.00 ,Batter,False,115,105,1000000.0,True,False,False,False,False,False,False,False,True,True
123,18887,Seby Zavala,27,61,178,1.9,zavala,seby,zavalse01,2019.0,732000.0,Chi White Sox,870,,Batter,False,61,49,0.0,True,True,False,False,False,False,False,False,False,False
124,13757,Chris Taylor,30,118,402,1.9,taylor,chris,tayloch03,2014.0,15000000.0,LA Dodgers,130,$13.00 ,Batter,False,118,110,13000000.0,True,False,False,True,False,False,True,True,True,True
125,12979,Javier Baez,28,144,555,1.9,báez,javier,baezja01,2014.0,22000000.0,Detroit,718,$25.00 ,Batter,False,144,142,25000000.0,True,False,False,False,False,True,False,False,False,False
126,17452,Jose Siri,25,104,301,1.9,siri,josé,sirijo01,2021.0,731600.0,Tampa Bay,1197,A1,Batter,False,104,88,3304000.0,False,False,False,False,False,False,False,True,False,True
127,18839,Josh Naylor,24,122,449,1.8,naylor,josh,naylojo01,2019.0,3350000.0,Cleveland,641,A3,Batter,True,122,116,5508000.0,True,False,True,False,False,False,False,False,False,False
128,13152,Jorge Polanco,27,104,375,1.8,polanco,jorge,polanjo01,2014.0,7500000.0,Minnesota,260,$1.00 ,Batter,False,104,103,1000000.0,True,False,False,True,False,True,False,False,False,False
129,18171,Seth Brown,28,150,500,1.8,brown,seth,brownse01,2019.0,730000.0,Oakland,688,A1,Batter,False,150,132,3168000.0000000005,True,False,True,False,False,False,True,True,True,True
130,5933,Jean Segura,31,98,354,1.8,segura,jean,segurje01,2012.0,6500000.0,Miami,1137,$8.50 ,Batter,False,98,96,8500000.0,True,False,False,True,False,False,False,False,False,False
131,10028,Christian Bethancourt,29,101,318,1.8,bethancourt,christian,bethach01,2013.0,1350000.0,Tampa Bay,1190,A2,Batter,False,101,84,4554000.0,True,True,True,False,False,False,False,False,False,False
132,19610,Keibert Ruiz,22,112,394,1.8,ruiz,keibert,ruizke01,2020.0,1375000.0,Washington,772,$6.38 ,Batter,False,112,98,6380000.0,False,True,False,False,False,False,False,False,False,False
133,15998,Cody Bellinger,25,144,504,1.8,bellinger,cody,bellico01,2017.0,12500000.0,Chi Cubs,1015,$5.00 ,Batter,False,144,135,5000000.0,True,False,False,False,False,False,False,True,False,True
134,17484,Eloy Jimenez,24,84,292,1.7,jiménez,eloy,jimenel02,2019.0,10333333.0,Chi White Sox,851,$13.83 ,Batter,False,84,80,13830000.0,True,False,False,False,False,False,True,False,False,True
135,2136,David Peralta,33,134,439,1.7,peralta,david,peralda01,2014.0,6500000.0,LA Dodgers,138,FA,Batter,False,134,116,0.0,True,False,False,False,False,False,True,False,False,True
136,18373,Ryan Mountcastle,24,145,555,1.7,mountcastle,ryan,mountry01,2020.0,738400.0,Baltimore,1106,A1,Batter,False,145,144,3032000.0000000005,False,False,True,False,False,False,False,False,False,False
137,19363,Austin Hays,25,145,535,1.7,hays,austin,haysau01,2017.0,3200000.0,Baltimore,1098,A2,Batter,False,145,139,4341000.0,True,False,False,False,False,False,True,True,True,True
138,22244,Jack Suwinski,22,106,326,1.7,suwinski,jack,suwinja01,2022.0,725000.0,Pittsburgh,197,,Batter,False,106,91,0.0,False,False,False,False,False,False,True,True,True,True
139,5038,Josh Donaldson,35,132,478,1.7,donaldson,josh,donaljo02,2010.0,21750000.0,NY Yankees,1055,$6.00 ,Batter,False,132,125,6000000.0,True,False,False,False,True,False,False,False,False,False
140,20202,Brandon Marsh,23,134,424,1.7,marsh,brandon,marshbr02,2021.0,734500.0,Philadelphia,908,,Batter,False,134,119,0.0,False,False,False,False,False,False,True,True,False,True
