,IDfg,Name,Age,G,IP,WAR,name_last,name_first,key_bbref,mlb_played_first,2023,shortName,2024,S2,2024Est,Selectable,Position_Starter,Position_Reliever
343,22264,Shane Baz,22,6,27.0,0.1,baz,shane,bazsh01,2021.0,723600.0,Tampa Bay,A1,False,858000.0,False,True,False
344,18323,Josh Sborz,27,19,22.1,0.1,sborz,josh,sborzjo01,2019.0,733450.0,Texas,A1,False,899000.0,True,False,True
345,14374,Tyler Glasnow,27,2,6.2,0.1,glasnow,tyler,glasnty01,2016.0,5350000.0,Tampa Bay,$25.000,False,25000000.0,True,True,False
346,21324,Parker Mushinski,25,7,7.1,0.1,mushinski,parker,mushipa01,2022.0,721800.0,Houston,,False,0.0,False,False,True
347,12863,Matt Barnes,31,44,39.2,0.1,barnes,matt,barnema01,2014.0,8375000.0,Miami,$2.250,False,2250000.0,True,False,True
348,20492,Casey Mize,24,2,10.0,0.1,mize,casey,mizeca01,2020.0,734200.0,Detroit,A1,False,858000.0,False,True,False
349,16703,Julian Merryweather,29,26,26.2,0.1,merryweather,julian,merryju01,2020.0,737000.0,Chi Cubs,A1,False,899000.0,False,False,True
350,15467,Marco Gonzales,29,32,183.0,0.0,gonzales,marco,gonzama02,2014.0,6750000.0,Seattle,$12.250,False,12250000.0,True,True,False
351,22387,Josh Winckowski,23,15,70.1,0.0,winckowski,josh,winckjo01,2022.0,722000.0,Boston,,False,0.0,False,False,True
352,17092,Domingo Acevedo,27,70,67.2,0.0,acevedo,domingo,acevedo01,2021.0,725000.0,Oakland,,False,0.0,False,False,True
353,17701,Jose Cuas,27,47,37.2,0.0,cuas,josé,cuasjo01,2022.0,726000.0,Kansas City,,False,0.0,False,False,True
354,13345,Luis Cessa,29,46,80.2,0.0,cessa,luis,cessalu01,2016.0,2650000.0,Cincinnati,FA,False,0.0,True,True,False
355,19754,Reiver Sanmartin,25,45,57.0,0.0,sanmartin,reiver,sanmare01,2021.0,722500.0,Cincinnati,,False,0.0,False,False,True
356,18356,Jaime Barria,24,35,79.1,0.0,barría,jaime,barrija01,2018.0,1050000.0,LA Angels,A2,False,720000.0,True,False,True
357,17755,Drew Smith,27,44,46.0,0.0,smith,drew,smithdr01,2018.0,1300000.0,NY Mets,A3,False,720000.0,True,False,True
358,16502,Ryan Yarbrough,29,20,80.0,0.0,yarbrough,ryan,yarbrry01,2018.0,3000000.0,Kansas City,A4,True,720000.0,True,True,False
359,14874,Sam Moll,29,53,43.1,0.0,moll,sam,mollsa01,2017.0,725000.0,Oakland,,False,0.0,True,False,True
