2023 MLB Salaries,,,,
Last,First,Pos'n,MLS,2023
Karcher, Ricky,rhp,0,
Kelley, Trevor,rhp,0.168,
Kent, Zak,rhp,0,
Kerr, Ray,lhp,0.037,
Kilian, Caleb,rhp,0.008,
King, John,lhp,2.026,
Knehr, Reiss,rhp,0.079,
Kowar, Jackson,rhp-s,0.089,
Krehbiel, Joey,rhp,1.019,
Krook, Matt,lhp,0,
Lambert, Peter,rhp,2.166,
Lavastida, Bryan,c,0.018,
Lee, Korey,c,0.032,
Legumina, Casey,rhp,0,
Leonard, Eddys,ss,0,
Liberatore, Matthew,lhp,0.028,
Lipcius, Andre,2b,0,
Long, Sam,lhp,1.045,
Lopez, Otto,2b,0.045,
Lovelady, Richard,lhp,1.026,
Luciano, Marco,ss,0,
Marcano, Tucupita,2b,0.141,
Marlowe, Cade,lf,0,
Marsh, Alec,rhp,0,
Marte, Noelvi,ss,0,
Martin, Davis,rhp,0.052,
Martinez, Angel,ss,0,
Martinez, Justin,rhp,0,
Martinez, Orelvis,ss,0,
Mata, Bryan,rhp,0,
Mathias, Mark,2b,1.153,
Matos, Luis,of,0,
Mauricio, Ronny,ss,0,
McArthur, James,rhp,0.099,
McGee, Easton,rhp,0.007,
Mead, Curtis,3b-1b,0,
Meadows, Parker,of,0,
Mears, Nick,rhp,1.079,
Medina, Luis,rhp,0,
Megill, Trevor,rhp,1.074,
Megill, Tylor,rhp,1.103,
Miller, Tyson,rhp,0.037,
Mitchell, Cal,of,0.096,
Moniak, Mickey,of,1.056,
Morel, Christopher,3b,0.142,
Munoz, Roddery,rhp,0,
Murphy, Chris,lhp,0,
Muzziotti, Simon,cf,0.056,
Naylor, Bo,c,0.005,
Noel, Jhonkensy,1b-3b,0,
Ober, Bailey,rhp,1.124,
Olson, Reese,rhp,0,
Ornelas, Jonathan,3b,0,
Ortiz, Jhailyn,rf,0,
Ortiz, Joey,ss,0,
Ortiz, Luis,rhp,0.058,
Ortiz, Luis,rhp,0.019,
Pache, Cristian,of,1.031,
Padilla, Nick,rhp,0.028,
Pages, Andy,of,0,
Palacios, Richie,2b,0.11,
Paredes, Enoli,rhp,1.103,
Patino, Luis,rhp,2.026,
Pearson, Nate,rhp,2.061,
Peguero, Elvis,rhp,0.073,
Peguero, Liover,ss,0.003,
Peraza, Oswald,ss,0.035,
Pereira, Everson,cf,0,
Perez, Carlos,c,0.019,
Perez, Joe,rhp,0.007,
Perez, Wenceel,2b,0,
Perkins, Blake,cf,0,
Pilkington, Konnor,lhp,0.057,
Pint, Riley,rhp,0,
Pinto, Rene,c,0.077,
Plassmeyer, Michael,lhp,0.003,
Pratto, Nick,1b,0.08,
Rafaela, Ceddanne,3b-of,0,
Ramirez, Yohan,rhp,2.001,
Ramos, Bryan,3b,0,
Ramos, Heliot,of,0.027,
Reynolds, Sean,rhp,0,
Richardson, Lyon,rhp,0,
Rivera, Emmanuel,3b-1b,1.058,
Robinson, Cam,rhp,0,
Rocchio, Brayan,ss,0,
Rodriguez, Endy,c,0,
Rodriguez, Grayson,rhp,0,
Rodriguez, Jose,ss,0,
Rodriguez, Randy,rhp,0,
Rodriguez, Yerry,rhp,0.005,
Rojas, Johan,of,0,
Rom, Drew,lhp,0,
Romero, JoJo,lhp,2.101,
Rutledge, Jackson,rhp,0,
Sanchez, Sixto,rhp-s,0.103,
Sands, Donny,c,0.035,
Saucedo, Tayler,lhp,1.112,
Selby, Colin,rhp,0,
Shewmake, Braden,ss,0,
Short, Zack,ss,0.102,
Siani, Michael,of,0.015,
Silseth, Chase,rhp,0.04,
Simpson, Josh,lhp,0,
Small, Ethan,lhp,0.003,
Smith, Chad,rhp,0.054,
Smith, Kevin,ss,0.114,
Smith, Pavin,1b,1.149,
Snider, Collin,rhp,0.114,
Soriano, George,rhp,0,
Soriano, Jose,rhp,1,
Sosa, Lenyn,2b-ss,0.017,
Soto, Livan,ss,0.019,
Sousa, Bennett,lhp,0.068,
Speier, Gabe,lhp,1.03,
Stefanic, Michael,2b,0.048,
Stevenson, Cal,lf-cf,0.028,
Stiever, Jonathan,rhp,1.028,
Stoudt, Levi,rhp,0,
Sullivan, Brett,c-of,0,
Swaggerty, Travis,of,0.008,
Taylor, Samad,2b,0,
Tena, Jose,ss,0,
Then, Juan,rhp,0,
Thomas, Conner,lhp,0,
Thompson, Zach,rhp,1.121,
Toglia, Michael,1b,0.037,
Topa, Justin,rhp,2.044,
Triolo, Jared,3b,0,
Tromp, Chadwick,c,1.104,
Uelmen, Erich,rhp,0.081,
Uribe, Abner,rhp,0,
Valdez, Enmanuel,3b,0,
Valera, George,rf,0,
Vanasco, Ricky,rhp,0,
Varland, Louie,rhp,0.015,
Vasquez, Randy,rhp,0,
Velazquez, Andrew,ss-3b,2.126,
Velazquez, Nelson,of,0.111,
Vespi, Nick,lhp,0.072,
Vest, Will,rhp,1.108,
Vientos, Mark,3b,0.026,
Villalobos, Eli,rhp,0,
Vines, Darius,rhp,0,
Vivas, Jorbit,2b,0,
Waites, Cole,rhp,0.024,
Wallner, Matt,of,0.019,
Walsh, Jake,rhp,0.013,
Walter, Brandon,lhp,0,
Watkins, Spenser,rhp,1.071,
Weems, Jordan,rhp,1.108,
Weiss, Zack,rhp,0.044,
Weissert, Greg,rhp,0.041,
White, Brendan,rhp,0,
White, Colby,rhp,0,
White, Eli,2b,2.065,
White, Owen,rhp,0,
Whitley, Forrest,rhp,0,
Williamson, Brandon,lhp,0,
Winn, Cole,rhp,0,
Winn, Keaton,rhp,0,
Woods-Richardson, Simeon,rhp,0.004,
Yepez, Juan,1b,0.127,
Zimmermann, Bruce,lhp-s,1.105,
Zulueta, Yosver,rhp,0,
Zuniga, Guillermo,rhp,0,
