,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
367,aguilar,jesús,542583,aguij001,aguilje01,11342,2014.0,2023.0
368,jackson,luke,592426,jackl001,jackslu01,11752,2015.0,2023.0
369,suter,brent,608718,suteb001,suterbr01,13942,2016.0,2023.0
370,yarbrough,ryan,642232,yarbr001,yarbrry01,16502,2018.0,2023.0
371,verhagen,drew,572403,verhd001,verhadr01,13424,2014.0,2023.0
372,white,evan,657108,white005,whiteev01,20078,2020.0,2021.0
373,rucinski,drew,607968,rucid001,rucindr01,12499,2014.0,2023.0
374,ruf,darin,573131,ruf-d001,rufda01,9929,2012.0,2023.0
375,means,john,607644,meanj001,meansjo01,16269,2018.0,2023.0
376,castillo,diego,660636,castd004,castidi02,19906,2022.0,2023.0
377,suárez,ranger,624133,suarr001,suarera01,17277,2018.0,2023.0
378,plesac,zach,668676,plesz001,plesaza01,19979,2019.0,2023.0
379,singer,brady,663903,singb001,singebr01,25377,2020.0,2023.0
380,straw,myles,664702,stram002,strawmy01,17620,2018.0,2023.0
381,scott,tanner,656945,scott003,scottta01,17586,2017.0,2023.0
382,stratton,chris,608717,strac001,stratch01,13761,2016.0,2023.0
383,caratini,víctor,605170,carav001,caratvi01,14968,2017.0,2023.0
384,junis,jakob,596001,junij001,junisja01,13619,2017.0,2023.0
385,soroka,michael,647336,sorom001,sorokmi01,18383,2018.0,2023.0
386,biggio,cavan,624415,biggc002,biggica01,19252,2019.0,2023.0
387,jimenez,jobel,-1,jimej801,,-1,,
388,ward,taylor,621493,wardt002,wardta01,17548,2018.0,2023.0
389,sandoval,patrick,663776,sandp002,sandopa02,19447,2019.0,2023.0
390,rodgers,brendan,663898,rodgb002,rodgebr02,17907,2019.0,2023.0
391,newman,kevin,621028,newmk001,newmake01,17696,2018.0,2023.0
392,cessa,luis,570666,cessl001,cessalu01,13345,2016.0,2023.0
393,garrett,amir,607237,garra001,garream01,14375,2017.0,2023.0
394,hudson,dakota,641712,hudsd002,hudsoda02,19206,2018.0,2023.0
395,walsh,jared,665120,walsj001,walshja01,18607,2019.0,2023.0
396,germán,domingo,593334,germd001,germado01,17149,2017.0,2023.0
397,civale,aaron,650644,civaa001,civalaa01,19479,2019.0,2023.0
398,rojas,josh,668942,rojaj001,rojasjo01,19734,2019.0,2023.0
